PARCEL,ABSTRPRD,BOOK,PAGE,RECNUM,SPRICE,DEDUCT,NETPRICE,SYEAR,SMONTH,SDAY,QUALIFIED,VERIFIED,STATUS,DISQLCD,TASP,PROPFLAG,TAXAREA,SCHDIST,CURRLND,CDISLND,IMCURRP,CURRTOT,SalesRatio,USETYPE
R0019470,1112.0,,,703554,170000,0,170000,2017,12,29,Q,Y,I,,198900.0,Residential,40,RE-1 SCHOOL DIST,16314,16314,274531,290845,1.4622674710910004,RESIDENTIAL
R0049952,1112.0,,,703772,450000,0,450000,2018,1,9,Q,Y,I,13.0,517500.0,Residential,39,RE-2 SCHOOL DIST,289993,289993,576018,866011,1.6734512077294685,RESIDENTIAL
R0011603,1112.0,,,703806,420000,0,420000,2018,1,11,Q,Y,I,681.0,483000.0,Residential,29,RE-2 SCHOOL DIST,272588,272588,163742,436330,0.9033747412008282,RESIDENTIAL
R0006287,1112.0,,,703983,394500,0,394500,2018,1,19,Q,Y,I,,453675.0,Residential,14,RE-1 SCHOOL DIST,49474,49474,515135,564609,1.244523061663085,RESIDENTIAL
R0057084,1112.0,,,744008,650000,0,650000,2021,10,11,Q,Y,I,,721500.0,Residential,37,RE-2 SCHOOL DIST,33699,33699,549553,583252,0.8083880803880804,RESIDENTIAL
R0021938,1112.0,,,744431,475000,0,475000,2021,10,29,Q,Y,I,,527250.0,Residential,60,RE-2 SCHOOL DIST,82242,82242,439035,521277,0.9886714082503556,RESIDENTIAL
R0022631,1112.0,,,744437,371200,0,371200,2021,10,29,U,Y,I,64.0,371200.0,Residential,60,RE-2 SCHOOL DIST,1236,1236,0,1236,0.0033297413793103446,RESIDENTIAL
R0056936,1112.0,,,744437,371200,0,371200,2021,10,29,U,Y,I,64.0,371200.0,Residential,60,RE-2 SCHOOL DIST,53392,53392,328953,382345,1.0300242456896551,RESIDENTIAL
R0017823,1112.0,,,744750,470000,0,470000,2021,11,5,Q,Y,I,,517000.0,Residential,35,RE-2 SCHOOL DIST,61411,61411,423253,484664,0.9374545454545454,RESIDENTIAL
R0022205,1112.0,,,704537,240000,0,240000,2018,2,12,Q,Y,I,,276000.0,Residential,60,RE-2 SCHOOL DIST,84150,84150,415815,499965,1.8114673913043478,RESIDENTIAL
R0012675,1112.0,,,704769,375000,0,375000,2018,2,22,Q,Y,I,681.0,397500.0,Residential,37,RE-2 SCHOOL DIST,70950,70950,646696,717646,1.8053987421383648,RESIDENTIAL
R0023825,1112.0,,,705237,190000,0,190000,2018,3,9,U,Y,I,17.0,195396.0,Residential,62,RE-2 SCHOOL DIST,47210,47210,250008,297218,1.5211058568240905,RESIDENTIAL
R0012389,1112.0,,,707814,275000,0,275000,2018,6,20,U,Y,I,64.0,275000.0,Residential,37,RE-2 SCHOOL DIST,31217,31217,470263,501480,1.8235636363636363,RESIDENTIAL
R0018326,1112.0,,,708005,440000,0,440000,2018,6,25,Q,Y,I,,492800.0,Residential,39,RE-2 SCHOOL DIST,151148,151148,525214,676362,1.3724878246753247,RESIDENTIAL
R0006233,1112.0,,,708278,245000,0,245000,2018,7,3,U,Y,I,17.0,274400.0,Residential,14,RE-1 SCHOOL DIST,53018,53018,372895,425913,1.552161078717201,RESIDENTIAL
R0024090,1112.0,,,708872,355000,0,355000,2018,7,20,Q,Y,I,,571550.0,Residential,62,RE-2 SCHOOL DIST,84679,84679,519797,604476,1.057608258245123,RESIDENTIAL
